Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients
Суп на курином бульоне с перловой крупой и солёными огурчиками,68.3 кКал,3.4 г,2.2 г,8.5 г,"Бульон куриный: 1270 г, Перловая крупа (Варка без слива рассыпчатая): 40 г, Морская капуста (ламинария) сушеная (Варка без слива): 2 г, Соль поваренная пищевая: 5 г, Сахар песок: 3 г, Лук репчатый (Жарка): 41 г, Оливковое масло: 10 г, Морковь (Жарка): 50 г, Перец сладкий красный (Варка без слива): 21 г, Помидор (томат), парниковый (Варка без слива): 45 г, Огурец соленый: 68 г, Картофель (Варка без слива): 118 г"
Суфле творожно манговое с голубикой,88 кКал,8.6 г,0.9 г,11 г,"Творог обезжиренный, 0,6% жирности: 480 г, Желатин, сухой порошок, неподслащенный: 10 г, Молоко 2,5% жирности, стерилизованное: 300 г, Сахар песок: 65 г, Манго: 400 г, Голубика: 250 г"
Суп из  сельди с картофелем,43.2 кКал,3.9 г,2.6 г,0.9 г,"Лук репчатый (Варка без слива): 33 г, Морковь (Варка без слива): 22 г, Лавровый лист: 1 г, Перец душистый, молотый: 1 г, Сельдь тихоокеанская жирная (Варка): 140 г, Соль поваренная пищевая: 7 г, Перец черный,  молотый или горошек: 0.5 г, Лук репчатый: 27 г, Руккола: 9 г, Чеснок: 6 г, Бульон рыбный: 900 г"
"Шайбочки творожно куриные с конопляными ядрышками и кедровыми орешками , с зеленью",209.7 кКал,15.4 г,13.1 г,7.9 г,"Шайбочки творожно куриные с конопляными ядрышками и кедровыми орешками, тесто: 400 г, Зелень (укроп,петрушка,лук перо): 20 г, Конопляное масло: 4 г"
"Салат овощной с авокадо, стейком говяжьей вырезки с базиликовым маслом",111.1 кКал,6.3 г,8 г,3.1 г,"Руккола: 70 г, Огурец грунтовый: 100 г, Помидор (томат), грунтовый: 110 г, Перец сладкий желтый: 30 г, Перец сладкий красный: 30 г, Перец сладкий зеленый: 30 г, Оливковое масло: 10 г, Авокадо: 80 г, Стейк из говяжьей вырезки с розмарином: 90 г, Кедровый орех, сушеный: 20 г, Сыр моцарелла, низкой влажности, м.д.ж. 37% в сух. в-ве: 40 г, Сок лимонный: 10 г"
"Салат овощной с авокадо, стейком говяжьей вырезки с базиликовым маслом",111.1 кКал,6.3 г,8 г,3.1 г,"Руккола: 70 г, Огурец грунтовый: 100 г, Помидор (томат), грунтовый: 110 г, Перец сладкий желтый: 30 г, Перец сладкий красный: 30 г, Перец сладкий зеленый: 30 г, Оливковое масло: 10 г, Авокадо: 80 г, Стейк из говяжьей вырезки с розмарином: 90 г, Кедровый орех, сушеный: 20 г, Сыр моцарелла, низкой влажности, м.д.ж. 37% в сух. в-ве: 40 г, Сок лимонный: 10 г"
Салат с редисом и салатом,44 кКал,1.1 г,3.1 г,2.5 г,"Редис: 211 г, Айсберг (салат кочанный): 66 г, Салат романо (римский салат, ромен): 87 г, Подсолнечное масло: 11 г, Гималайская розовая соль: 0.5 г"
Салат с редисом и салатом,44 кКал,1.1 г,3.1 г,2.5 г,"Редис: 211 г, Айсберг (салат кочанный): 66 г, Салат романо (римский салат, ромен): 87 г, Подсолнечное масло: 11 г, Гималайская розовая соль: 0.5 г"
Салат с редисом и салатом,44 кКал,1.1 г,3.1 г,2.5 г,"Редис: 211 г, Айсберг (салат кочанный): 66 г, Салат романо (римский салат, ромен): 87 г, Подсолнечное масло: 11 г, Гималайская розовая соль: 0.5 г"
Сырники,192.9 кКал,17.4 г,6 г,16.6 г,"Творог 5% жирности (Жарка): 1200 г, Яйцо куриное: 180 г, Сахар песок: 120 г, Пшеничная мука, высшего сорта: 150 г, Подсолнечное масло: 17 г, Ванильный экстракт, искуственный: 13 г"
